Transport Type, Energy, Grain Size, Composition, Roundness, Sorting
Wind, blown sand, High, fine - medium, quartz, ~ red iron oxide, Well Rounded, Well sorted
Ice, deposited as glacial till, Low, very coarse - very fine, varied: any rock fragment and clay, angular - sub-angular, Very poor
River deposit of sand in channel, High, coarse - fine sand (coarser near source), quartz, mica, rock fragments, angular - sub-rounded with transport, poor - medium (with transport)
Beach or offshore bar in sea, High, medium sand - course  pebbles, mostly quartz + some shell or rocks fragments , sub-rounded - rounded, moderately sorted
Gravity, Low, bolders - soil creep, varied: any rock fragments, angular - very angular, very poor (larger at base)
