Phi Size, Mass (g), Percentage, Cumulative Percentage
-1, 35.02, 70.76, 70.76
0, 5.27, 10.65, 81.41
1.5, 3.37, 6.81, 88.22
2, 1.90, 3.84, 92.06
2.5, 1.65, 3.33, 95.39
2.8, 0.80, 1.62, 97.01
>2.8, 1.48, 2.99, 100.00
, 49.49,,
